timestamp,ax,ay,az,gx,gy,gz,delay_ms,classe_prevista,tempo_s,Fase
1774299885215,-0.0224869,1.0357,0.0869287,0.155689,-0.0656919,0.0923356,3.27395,3,10.719,2
1774299885229,-0.0183431,1.02993,0.0903447,0.159956,-0.0634629,0.09188349999999999,3.27836,3,10.733,2
1774299885242,-0.0152988,1.02858,0.0914866,0.166416,-0.063821,0.09394450000000001,3.38011,3,10.746,2
1774299885256,-0.0159537,1.0261,0.0965396,0.16855599999999998,-0.0658161,0.0986045,3.30599,3,10.76,2
1774299885269,-0.0179145,1.02602,0.0963536,0.175951,-0.0673268,0.10522500000000001,3.32253,3,10.773,2
1774299885282,-0.0256192,1.0292,0.09719,0.175908,-0.0659781,0.109655,3.26647,3,10.786,2
1774299885296,-0.0286308,1.02771,0.0928542,0.18249600000000002,-0.0630351,0.111948,3.3071,5,10.8,2
1774299885309,-0.0355892,1.02955,0.0951569,0.178357,-0.0597048,0.11465199999999999,3.26471,5,10.813,2
1774299885325,-0.0380473,1.01852,0.102516,0.182037,-0.0570452,0.114498,5.58678,5,10.829,2
1774299885338,-0.0428963,1.00942,0.105218,0.184282,-0.0523553,0.110705,3.28784,5,10.842,2
1774299885352,-0.0470528,1.01144,0.105923,0.185986,-0.048904800000000005,0.105651,3.26439,5,10.856,2
1774299885365,-0.0487426,1.00987,0.103213,0.189517,-0.046277200000000004,0.100611,3.26426,5,10.869,2
1774299885378,-0.0516184,1.01172,0.100215,0.192015,-0.043493000000000004,0.0966763,3.27078,5,10.882,2
1774299885392,-0.0516245,1.01217,0.0986723,0.19473600000000002,-0.0413745,0.0934629,3.29682,5,10.896,2
1774299885405,-0.0539686,1.01231,0.0945493,0.19564399999999998,-0.0384157,0.09180429999999999,3.26111,5,10.909,2
1774299885419,-0.0541602,1.00718,0.0950802,0.195498,-0.0341671,0.0899989,3.28541,5,10.923,2
1774299885432,-0.0548559,1.0124,0.0925664,0.19612300000000002,-0.028371200000000003,0.0904828,3.275,5,10.936,2
1774299885445,-0.0555212,1.00932,0.0937179,0.19587800000000002,-0.023684,0.0911194,3.2701,5,10.949,2
1774299885459,-0.0581006,1.00925,0.0896087,0.198096,-0.017988,0.09169460000000001,3.26587,5,10.963,2
1774299885472,-0.0615174,1.0088,0.0860208,0.197861,-0.012196199999999999,0.0901694,3.29721,5,10.976,2
1774299885485,-0.0646673,1.00692,0.0838818,0.197993,-0.0071959300000000006,0.0877792,3.28134,5,10.989,2
1774299885499,-0.0683201,1.00328,0.083566,0.196907,-0.002352,0.08384029999999999,3.30049,5,11.003,2
1774299885512,-0.0722403,1.00137,0.0796338,0.19685400000000003,0.00388158,0.07855089999999999,3.29647,5,11.016,2
1774299885526,-0.0729781,0.9974,0.0767919,0.19490600000000002,0.010275099999999999,0.0723764,3.28802,1,11.03,2
1774299885539,-0.0751357,1.00154,0.0705722,0.193167,0.0158004,0.0680554,3.27373,1,11.043,2
1774299885552,-0.0759604,0.998012,0.0706035,0.18838200000000002,0.0205619,0.0628464,3.29306,1,11.056,2
1774299885566,-0.0754358,0.994992,0.0702171,0.186704,0.026495,0.05775400000000001,3.2881,1,11.07,2
1774299885579,-0.0744003,0.996663,0.0679791,0.185339,0.0310034,0.0539364,3.29067,1,11.083,2
1774299885593,-0.0754067,0.998624,0.063725,0.18522400000000003,0.034257,0.0511893,3.30041,1,11.097,2
