timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista,tempo_s,Fase
1774300228867,-0.0164238,1.07652,-0.390595,-0.827611,-0.176359,0.159635,0,0,3.27841,5,40.094,1
1774300228880,-0.0209159,1.08098,-0.409996,-0.799827,-0.14972,0.16183499999999998,0,0,3.32658,5,40.107,1
1774300228893,-0.021859,1.08199,-0.429243,-0.765227,-0.11870900000000001,0.161809,0,0,3.29504,5,40.12,1
1774300228907,-0.0179669,1.08107,-0.447616,-0.724641,-0.0868135,0.159605,0,0,3.26836,5,40.134,1
1774300228920,-0.00617325,1.10044,-0.465762,-0.675585,-0.0578027,0.154635,0,0,3.35974,5,40.147,1
1774300228934,0.0125891,1.10125,-0.481588,-0.6184080000000001,-0.0372574,0.140146,0,0,3.30499,5,40.161,1
1774300228947,0.0423502,1.10854,-0.495269,-0.5494100000000001,-0.0310056,0.10976200000000001,0,0,3.27273,5,40.174,1
1774300228960,0.0385656,1.08396,-0.494248,-0.497551,-0.0245564,0.09890840000000001,0,0,3.27093,5,40.187,1
1774300228974,0.0498728,0.999483,-0.445119,-0.35100400000000004,-0.038118400000000004,0.0935702,0,0,3.26971,5,40.201,1
1774300228987,0.0449585,1.1307,-0.381301,-0.25524,-0.015500100000000001,0.0832776,0,0,3.3053,1,40.214,1
1774300229000,0.0242757,1.13093,-0.343614,-0.176357,-0.0028084,0.0643349,0,0,3.26295,1,40.227,1
1774300229014,0.011224,1.09729,-0.320899,-0.0802276,0.012554000000000001,0.0321962,0,0,3.26973,1,40.241,1
1774300229027,0.011,1.08551,-0.308788,0.011554,0.0285106,0.00268655,0,0,3.26341,2,40.254,1
1774300229041,0.0156973,1.08475,-0.300697,0.08063179999999999,0.0329616,-0.0196356,0,0,3.29738,2,40.268,1
1774300229054,0.0213742,1.07887,-0.299216,0.128566,0.0279955,-0.035028000000000004,0,0,3.29097,2,40.281,1
1774300229067,0.0240696,1.06877,-0.294032,0.15617,0.020118,-0.0436522,0,0,3.27166,2,40.294,1
