timestamp,ax,ay,az,gx,gy,gz,delay_ms,classe_prevista
1777240189367,0.0344494,1.16549,-0.170471,0.165548,0.0353586,-0.00741279,3.55951,1
1777240189381,0.0304629,1.15951,-0.167332,0.164043,0.0367408,-0.00897093,3.42557,1
1777240189395,0.0254812,1.15463,-0.162314,0.162655,0.0382639,-0.00666078,3.87542,1
1777240189408,0.0217238,1.14814,-0.158934,0.160849,0.0402067,-0.00184259,3.44479,1
1777240189422,0.0205053,1.14085,-0.157167,0.158961,0.0424131,0.00434957,3.34638,1
1777240189435,0.0195742,1.13386,-0.155117,0.156137,0.0447955,0.0108324,3.47981,1
1777240189449,0.0203798,1.1273,-0.153934,0.15271,0.0439956,0.0172171,3.43051,1
1777240189462,0.0204143,1.12115,-0.152338,0.148105,0.0423071,0.0235262,3.48214,1
1777240189476,0.0212686,1.11379,-0.150545,0.142636,0.0399254,0.0297298,3.39477,1
1777240189490,0.0217053,1.10747,-0.148756,0.13708,0.0371035,0.035564,3.6752,1
1777240189503,0.0219394,1.10123,-0.147204,0.130993,0.0338962,0.0414992,3.5621,1
1777240189517,0.0238174,1.09497,-0.146205,0.125221,0.0304491,0.0461294,3.37921,1
1777240189531,0.0254394,1.08935,-0.144906,0.119378,0.0269,0.0492582,3.45664,1
1777240189544,0.0270115,1.08421,-0.143735,0.113748,0.0233401,0.0512223,3.45223,1
1777240189558,0.0295773,1.07899,-0.142122,0.108635,0.0199756,0.0515862,3.45345,1
1777240189571,0.0316979,1.07354,-0.141285,0.103715,0.0170096,0.050354,3.37886,1
1777240189585,0.0344254,1.06853,-0.140139,0.0992162,0.0139959,0.0477522,3.47136,1
1777240189599,0.0364247,1.06362,-0.138441,0.0951239,0.011481,0.0443372,3.40521,1
1777240189612,0.0378599,1.05927,-0.138029,0.0916722,0.009227,0.0401417,3.85603,1
1777240189626,0.0373659,1.05615,-0.137654,0.0883969,0.00718081,0.036036,3.43644,5
1777240189640,0.0372557,1.05259,-0.136328,0.0853825,0.00548062,0.0323019,3.60812,4
1777240189653,0.0361245,1.0491,-0.136583,0.082777,0.00393146,0.0289058,3.45266,4
1777240189667,0.0359469,1.04733,-0.136591,0.0805488,0.0025848,0.0260812,3.37399,4
1777240189680,0.0357383,1.04556,-0.136214,0.0783728,0.00129656,0.0232651,3.46223,4
1777240189694,0.0357878,1.04243,-0.135339,0.0763145,0.00026041,0.0201532,3.37862,4
1777240189707,0.036711,1.04024,-0.134622,0.0746501,-0.00108157,0.0164922,3.45873,4
1777240189721,0.0371441,1.03931,-0.134384,0.0738241,-0.00238682,0.012527,3.41458,4
1777240189735,0.0377448,1.03875,-0.134378,0.0731257,-0.00351609,0.00838596,3.66877,4
1777240189748,0.0372709,1.03844,-0.134372,0.0728048,-0.004749,0.00443013,3.41786,4
1777240189762,0.036536,1.03771,-0.133559,0.0726261,-0.00586138,0.00144981,3.34625,4
1777240189775,0.0358972,1.03761,-0.134037,0.073044,-0.00684713,-0.000956568,3.42418,4
1777240189789,0.0354037,1.03635,-0.134229,0.0738495,-0.00781613,-0.00264991,3.37362,4
1777240189802,0.03287,1.03603,-0.134766,0.0740104,-0.00884638,-0.00246274,3.46905,4
1777240189816,0.0315877,1.03559,-0.135683,0.0742907,-0.00979744,-0.000765996,3.39644,4
1777240189830,0.0283095,1.03492,-0.137371,0.0743283,-0.0105881,0.00302788,4.28203,4
1777240189844,0.025626,1.03367,-0.138608,0.0745651,-0.0108249,0.00784213,3.6829,4
1777240189857,0.0250924,1.03184,-0.138406,0.075341,-0.0110227,0.0130586,3.31933,4
1777240189871,0.0249722,1.03042,-0.138722,0.0768355,-0.0111109,0.0184449,3.42712,4
1777240189884,0.025338,1.02983,-0.139431,0.079064,-0.0106161,0.0236275,3.34057,4
1777240189898,0.0270939,1.02791,-0.140306,0.0820496,-0.0104103,0.0273163,3.43246,4
1777240189911,0.030463,1.02886,-0.140502,0.0868373,-0.010186,0.0294193,3.34907,4
1777240189926,0.0342184,1.03232,-0.1404,0.093369,-0.0103768,0.0329588,4.65849,4
1777240189939,0.0369414,1.03477,-0.140029,0.103409,-0.0119143,0.0358115,3.35799,4
1777240189953,0.0364441,1.04132,-0.139953,0.115152,-0.0135025,0.0389538,4.02245,4
1777240189967,0.038878,1.05651,-0.135184,0.133575,-0.0151301,0.0426221,3.43205,4
1777240189980,0.0408329,1.0727,-0.134654,0.158735,-0.0180238,0.0435241,3.31338,4
1777240189994,0.0321472,1.08308,-0.133099,0.188056,-0.0198131,0.0459384,3.35579,4
1777240190007,0.0287417,1.09761,-0.132014,0.221662,-0.0199949,0.0504266,3.44916,4
1777240190021,0.0235416,1.10428,-0.134278,0.25874,-0.0188691,0.0554596,3.39414,4
1777240190034,0.0205778,1.11366,-0.133963,0.299732,-0.0182859,0.06367,3.43666,4
1777240190049,0.0184512,1.12066,-0.136692,0.344647,-0.0166822,0.0713427,3.42879,4
1777240190062,0.020429,1.13416,-0.137652,0.396068,-0.0150956,0.0768724,3.43077,4
1777240190076,0.0283488,1.14952,-0.136682,0.455276,-0.0159958,0.0827341,3.92414,4
1777240190090,0.0335374,1.16359,-0.137259,0.521708,-0.0179246,0.0856594,3.44205,4
1777240190103,0.0418586,1.17258,-0.137859,0.590542,-0.0223572,0.087059,3.3461,4
1777240190117,0.049398,1.18325,-0.138877,0.659801,-0.0300136,0.0915187,3.43523,4
1777240190130,0.0542686,1.19829,-0.140221,0.73119,-0.0397327,0.0963619,3.34744,4
1777240190144,0.0597014,1.2071,-0.143982,0.805936,-0.0508763,0.0983258,3.59683,4
1777240190157,0.0728544,1.223,-0.144164,0.883747,-0.0663574,0.101944,3.41446,4
1777240190172,0.0835715,1.24417,-0.147334,0.967599,-0.0858516,0.106849,4.11655,4
1777240190187,0.0933451,1.26977,-0.157297,1.05363,-0.107763,0.120762,3.42233,4
1777240190201,0.10457,1.29323,-0.181121,1.13483,-0.133944,0.143824,3.9002,4
1777240190214,0.120451,1.28525,-0.186505,1.21148,-0.165353,0.165374,3.43496,4
1777240190228,0.10997,1.32074,-0.185123,1.28383,-0.19756,0.186461,3.33755,4
1777240190241,0.0935716,1.31593,-0.193377,1.35212,-0.223885,0.248408,3.44397,4
1777240190255,0.104784,1.3173,-0.194896,1.41658,-0.261536,0.3358,3.43127,4
1777240190268,0.10678,1.32841,-0.185731,1.47742,-0.309963,0.437653,3.47042,4
1777240190282,0.110062,1.33592,-0.155442,1.53486,-0.368327,0.536486,3.39242,4
1777240190296,0.105573,1.32804,-0.107748,1.58907,-0.436447,0.615782,3.97507,4
