Starting real-time gait reader (100Hz) WITH KALMAN.
Press any key to stop.
[OK] MPU6050 initialized on /dev/i2c-1 (0x68)
ax:0.186035 ay:0.946045 az:-0.482666 gx:0.29771 gy:-0.671756 gz:0.656489 | Class: -1 | Delay: 3.27458 ms
 R_K:128.062 P_K:-10.5856 | Dly: 3.27734msax:0.173096 ay:0.925781 az:-0.474121 gx:0.160305 gy:-0.732824 gz:0.519084 | Class: 1 | Delay: 3.27464 ms
 R_K:128.312 P_K:-10.5979 | Dly: 3.27464msax:0.17627 ay:0.92041 az:-0.476318 gx:-0.0305344 gy:-0.954198 gz:0.610687 | Class: 1 | Delay: 3.27255 ms
 R_K:128.553 P_K:-10.6193 | Dly: 3.27255msax:0.174561 ay:0.928223 az:-0.468506 gx:0.0305344 gy:-0.732824 gz:0.679389 | Class: 1 | Delay: 3.27191 ms
 R_K:128.761 P_K:-10.6322 | Dly: 3.27191msax:0.17749 ay:0.926758 az:-0.473877 gx:0.122137 gy:-0.732824 gz:0.641221 | Class: 1 | Delay: 3.27471 ms
 R_K:128.966 P_K:-10.6493 | Dly: 3.27471msax:0.177002 ay:0.92627 az:-0.479736 gx:-0.0229008 gy:-0.801527 gz:0.687023 | Class: 1 | Delay: 3.27084 ms
 R_K:129.167 P_K:-10.6646 | Dly: 3.27084msax:0.175537 ay:0.924561 az:-0.481689 gx:0.0458015 gy:-0.916031 gz:0.656489 | Class: 1 | Delay: 3.27247 ms
 R_K:129.361 P_K:-10.6777 | Dly: 3.27247msax:0.17041 ay:0.919922 az:-0.483887 gx:0.0839695 gy:-0.717557 gz:0.572519 | Class: 1 | Delay: 3.27212 ms
 R_K:129.55 P_K:-10.6783 | Dly: 3.27212msax:0.179688 ay:0.929443 az:-0.480469 gx:0.0534351 gy:-0.648855 gz:0.679389 | Class: 1 | Delay: 3.27225 ms
 R_K:129.712 P_K:-10.6929 | Dly: 3.27225msax:0.169678 ay:0.924561 az:-0.477295 gx:0.0381679 gy:-0.748092 gz:0.633588 | Class: 1 | Delay: 3.27001 ms
 R_K:129.86 P_K:-10.6904 | Dly: 3.27001msax:0.16748 ay:0.922607 az:-0.486572 gx:-0.0152672 gy:-0.793893 gz:0.610687 | Class: 1 | Delay: 3.2764 ms
 R_K:130.014 P_K:-10.6828 | Dly: 3.2764msax:0.173828 ay:0.925293 az:-0.484131 gx:0.137405 gy:-0.870229 gz:0.564885 | Class: 1 | Delay: 3.27312 ms
 R_K:130.152 P_K:-10.6876 | Dly: 3.27312msax:0.175781 ay:0.921387 az:-0.484863 gx:0.122137 gy:-0.992366 gz:0.740458 | Class: 1 | Delay: 3.27169 ms
