Starting real-time gait reader (100Hz). Press any key to stop.
Expected Class Range: 1-5.
[OK] MPU6050 initialized on /dev/i2c-1 (0x68)
ax:-0.112793 ay:-0.990967 az:-0.0744629 gx:-0.175573 gy:-1.00763 gz:0.923664 | Class: 1 | Delay: 3.27001 ms
ax:-0.117676 ay:-1.00171 az:-0.0837402 gx:-0.358779 gy:-0.709924 gz:0.908397 | Class: 5 | Delay: 3.28532 ms
ax:-0.111328 ay:-0.981445 az:-0.0751953 gx:-1.0229 gy:-0.572519 gz:0.610687 | Class: 5 | Delay: 3.2779 ms
ax:-0.124023 ay:-1.00024 az:-0.0795898 gx:-0.977099 gy:-0.290076 gz:0.587786 | Class: 5 | Delay: 4.48373 ms
ax:-0.116943 ay:-0.986816 az:-0.0620117 gx:-1.49618 gy:-0.351145 gz:1.0916 | Class: 5 | Delay: 3.28682 ms
ax:-0.124512 ay:-0.999512 az:-0.0683594 gx:-1.8626 gy:-0.427481 gz:0.89313 | Class: 5 | Delay: 3.26812 ms
ax:-0.116699 ay:-0.990967 az:-0.0705566 gx:-3.0687 gy:-0.564885 gz:1.53435 | Class: 5 | Delay: 3.27142 ms
ax:-0.127197 ay:-0.94873 az:-0.0703125 gx:-2.25191 gy:-0.473282 gz:1.68702 | Class: 5 | Delay: 3.26912 ms
ax:-0.143799 ay:-1.01343 az:-0.0900879 gx:-3.67939 gy:-1.0229 gz:1.47328 | Class: 5 | Delay: 3.28412 ms
ax:-0.0842285 ay:-0.960938 az:-0.0993652 gx:-2.39695 gy:-2.01527 gz:1.85496 | Class: 5 | Delay: 3.28345 ms
ax:-0.13208 ay:-0.985352 az:-0.0895996 gx:-0.648855 gy:-0.0916031 gz:-0.152672 | Class: 5 | Delay: 3.2819 ms
ax:-0.121094 ay:-0.989502 az:-0.0874023 gx:1.07634 gy:-1.41221 gz:0.526718 | Class: 5 | Delay: 3.27477 ms
ax:-0.123047 ay:-0.987793 az:-0.0800781 gx:2.35878 gy:-0.251908 gz:0.847328 | Class: 5 | Delay: 3.27121 ms
ax:-0.134521 ay:-1.02637 az:-0.0708008 gx:7.71756 gy:-2.85496 gz:-0.236641 | Class: 5 | Delay: 3.27232 ms
ax:-0.111572 ay:-1.00635 az:-0.064209 gx:3.07634 gy:-2.16794 gz:2.1145 | Class: 5 | Delay: 3.27019 ms
ax:-0.115479 ay:-0.987305 az:-0.074707 gx:-1.1374 gy:-1.35115 gz:-0.335878 | Class: 5 | Delay: 3.26923 ms
ax:-0.129395 ay:-0.990234 az:-0.0683594 gx:-0.381679 gy:-0.687023 gz:0.381679 | Class: 5 | Delay: 3.28471 ms
ax:-0.108643 ay:-0.993164 az:-0.0803223 gx:0.366412 gy:-1 gz:0.580153 | Class: 5 | Delay: 3.27954 ms
ax:-0.114502 ay:-0.994385 az:-0.0656738 gx:0.603053 gy:-0.984733 gz:0.755725 | Class: 5 | Delay: 3.26903 ms
ax:-0.120361 ay:-0.992676 az:-0.0695801 gx:0.0763359 gy:-0.908397 gz:0.969466 | Class: 5 | Delay: 3.27212 ms
ax:-0.107666 ay:-0.992188 az:-0.065918 gx:0.51145 gy:-0.671756 gz:0.839695 | Class: 5 | Delay: 3.27193 ms
ax:-0.106934 ay:-0.991943 az:-0.0756836 gx:0.0381679 gy:-0.839695 gz:0.70229 | Class: 5 | Delay: 3.27056 ms
ax:-0.112549 ay:-1.00195 az:-0.0673828 gx:-0.0534351 gy:-0.366412 gz:1.29008 | Class: 1 | Delay: 3.27182 ms
ax:-0.115967 ay:-1.00806 az:-0.0761719 gx:-0.0992366 gy:-0.78626 gz:0.648855 | Class: 5 | Delay: 3.26138 ms
ax:-0.123291 ay:-0.996094 az:-0.059082 gx:-0.122137 gy:-1.0458 gz:0.717557 | Class: 5 | Delay: 3.28147 ms
ax:-0.118896 ay:-0.984619 az:-0.0717773 gx:-0.374046 gy:-0.587786 gz:0.938931 | Class: 5 | Delay: 3.27484 ms
ax:-0.126221 ay:-0.99292 az:-0.0644531 gx:0.496183 gy:-1.70229 gz:1.06107 | Class: 5 | Delay: 3.27232 ms
ax:-0.112549 ay:-0.955811 az:-0.0783691 gx:-2.55725 gy:-0.885496 gz:1.78626 | Class: 5 | Delay: 3.27208 ms
ax:-0.135498 ay:-1.00684 az:-0.0595703 gx:-1.28244 gy:-0.358779 gz:0.854962 | Class: 5 | Delay: 3.27045 ms
ax:-0.101807 ay:-0.996338 az:-0.0671387 gx:0.381679 gy:-0.908397 gz:1.18321 | Class: 5 | Delay: 3.26934 ms
ax:-0.0939941 ay:-0.988525 az:-0.0874023 gx:-0.0916031 gy:-2.0687 gz:0.954198 | Class: 5 | Delay: 3.26993 ms
ax:-0.133301 ay:-0.990723 az:-0.0654297 gx:-0.19084 gy:-1.22137 gz:0.427481 | Class: 1 | Delay: 3.2774 ms
ax:-0.110596 ay:-0.984619 az:-0.0769043 gx:-1.07634 gy:-0.473282 gz:0.358779 | Class: 5 | Delay: 3.2773 ms
