t,mode,S,prom
20.97,1.0,1.0,-0.8027094960212707
20.98,1.0,1.0,-0.7930163562297821
20.99,1.0,1.0,-0.778569883108139
21.0,1.0,1.0,-0.7624749183654785
21.01,1.0,1.0,-0.746379953622818
21.02,1.0,1.0,-0.7317821264266968
21.03,1.0,1.0,-0.7239580869674681
21.04,1.0,1.0,-0.726779168844223
21.05,1.0,1.0,-0.7422674953937529
21.06,1.0,1.0,-0.7577558219432831
21.07,1.0,1.0,-0.7848092854022979
21.08,1.0,1.0,-0.8185695290565491
21.09,1.0,1.0,-0.8539083778858185
21.1,1.0,1.0,-0.8880642294883728
21.11,1.0,1.0,-0.9222200810909272
21.12,1.0,1.0,-0.9532451689243315
21.13,1.0,1.0,-0.9780992686748504
21.14,1.0,1.0,-0.9966237425804138
21.15,1.0,1.0,-1.010952776670456
21.16,1.0,1.0,-1.0267353773117065
21.17,1.0,1.0,-1.0378212630748749
21.18,1.0,1.0,-1.0471660494804382
21.19,1.0,1.0,-1.0558817028999328
21.2,1.0,1.0,-1.0643526673316956
21.21,1.0,1.0,-1.0749797224998474
21.22,1.0,1.0,-1.0851645231246947
21.23,1.0,1.0,-1.1001063346862794
21.24,1.0,1.0,-1.1208739757537842
21.25,1.0,1.0,-1.14805725812912
21.26,1.0,1.0,-1.1850973606109618
21.27,1.0,1.0,-1.222137463092804
21.28,1.0,1.0,-1.27136709690094
21.29,1.0,1.0,-1.329910147190094
21.3,1.0,1.0,-1.3931576490402222
21.31,1.0,1.0,-1.4579092144966126
21.32,1.0,1.0,-1.522660779953003
21.33,1.0,1.0,-1.5841092348098755
21.34,1.0,1.0,-1.6371498465538026
21.35,1.0,1.0,-1.6768335461616517
21.36,1.0,1.0,-1.6895005464553834
21.37,1.0,1.0,-1.7021675467491153
21.38,2.0,2.0,-1.6530115008354187
21.39,2.0,2.0,-1.514587277173996
21.4,2.0,2.0,-1.306640401482582
21.41,2.0,2.0,-1.0950333714485168
21.42,2.0,2.0,-0.8496749639511108
21.43,2.0,2.0,-0.5758398950099946
21.44,2.0,2.0,-0.2701152741909027
21.45,3.0,3.0,0.06653448939323425
21.46,3.0,3.0,0.38747794032096866
21.47,3.0,3.0,0.7354412257671357
21.48,3.0,3.0,1.049279624223709
21.49,3.0,3.0,1.2906058073043822
21.5,3.0,3.0,1.4705523103475573
21.51,3.0,3.0,1.6530049979686736
21.52,3.0,3.0,1.8017063081264493
21.53,3.0,3.0,1.927645003795624
21.54,3.0,3.0,2.0250571012496947
21.55,3.0,3.0,2.089599752426148
21.56,3.0,3.0,2.1506919384002687
21.57,3.0,3.0,2.184764289855957
21.58,3.0,3.0,2.1965133905410767
21.59,4.0,4.0,2.1942720174789434
21.6,4.0,4.0,2.1813841581344606
21.61,4.0,4.0,2.156257438659668
21.62,4.0,4.0,2.1311307191848754
21.63,4.0,4.0,2.0927096366882325
21.64,4.0,4.0,2.04384765625
21.65,4.0,4.0,1.992097759246826
21.66,4.0,4.0,1.9490947484970091
21.67,4.0,4.0,1.9060917377471924
21.68,4.0,4.0,1.8774071693420409
21.69,4.0,4.0,1.8610623359680176
21.7,4.0,4.0,1.8574616193771365
21.71,4.0,4.0,1.868933629989624
21.72,4.0,4.0,1.880405640602112
21.73,4.0,4.0,1.905511283874512
21.74,4.0,4.0,1.9397308349609372
21.75,4.0,4.0,1.9766371965408325
21.76,4.0,4.0,2.009356594085693
21.77,4.0,4.0,2.042075991630554
21.78,4.0,4.0,2.0690370082855223
21.79,4.0,4.0,2.0927869319915766
21.8,4.0,4.0,2.111704802513122
21.81,4.0,4.0,2.120847225189209
21.82,4.0,4.0,2.1299896478652958
21.83,4.0,4.0,2.126045823097229
21.84,4.0,4.0,2.1050366163253784
