t,k_pos,k_vel,k_acc,a_pos,a_vel,a_acc,e_pos,e_vel,e_acc,R10
55.928,0.6182149052619934,0.06955748796463013,-1.6530792713165283,0.9171327352523805,-0.23063752055168152,0.0,0.0,-0.10110411047935486,0.0,0.0
55.941,0.6015415191650392,0.07574026286602019,-1.722487211227417,0.9312415719032288,-0.23084092140197757,0.0,0.0,-0.10110411047935486,0.0,0.0
55.954,0.5901675224304199,0.09294147789478302,-4.291511535644531,0.8841122984886169,-0.29747623205184937,0.0,0.0,-0.10658116638660432,0.0,0.0
55.968,0.566659688949585,0.10122543573379517,0.8958801627159119,0.8789318203926086,-0.27887076139450073,0.0,0.0,-0.11227831989526749,0.0,0.0
55.981,0.5534793138504028,0.12205999344587326,1.3300291299819946,0.8394520282745361,-0.2734037637710572,0.0,0.0,-0.1175721362233162,0.0,0.0
55.994,0.5653952360153198,0.11513687670230864,-1.3676997423171997,0.8750575184822081,-0.23807260394096372,0.0,0.0,-0.1227538138628006,0.0,0.0
56.008,0.5701845288276672,0.11533813178539276,-2.446833372116089,0.8907516598701477,-0.27169013023376465,0.0,0.0,-0.13226500153541565,0.0,0.0
56.021,0.6062624454498291,0.13034451007843018,-1.3909260034561155,0.9277420043945312,-0.3578188419342041,0.0,0.0,-0.14089028537273407,0.0,0.0
56.034,0.6024749279022217,0.16951847076416016,-3.293412923812866,0.9267926812171936,-0.45775866508483887,0.0,0.0,-0.14131595194339752,0.0,0.0
56.048,0.5972941517829895,0.19417262077331543,-0.3364328145980835,0.8966758251190186,-0.4969044327735901,0.0,0.0,-0.14759352803230286,0.0,0.0
56.061,0.5892869234085083,0.2049846202135086,1.8197821378707888,0.8398616909980774,-0.43290713429450983,0.0,0.0,-0.16131897270679474,0.0,0.0
56.074,0.5778982043266296,0.1900368332862854,4.891693592071533,0.7852469682693481,-0.2924789786338806,0.0,0.0,-0.1700676828622818,0.0,0.0
56.088,0.5591916441917419,0.14643603563308716,5.610198974609375,0.778328537940979,-0.1596428155899048,0.0,0.0,-0.17226992547512054,0.0,0.0
56.102,0.5582506060600281,0.101359061896801,2.97208309173584,0.7763835191726685,-0.08115407079458237,0.0,0.0,-0.17012730240821838,0.0,0.0
56.114,0.5648656487464905,0.09222275018692017,-1.9304947853088377,0.8284398317337037,-0.04893361777067184,0.0,0.0,-0.14199987053871155,0.0,0.0
56.128,0.571155846118927,0.09248898178339005,0.06800182163715363,0.8586193323135376,-0.05145590379834175,0.0,0.0,-0.14199987053871155,0.0,0.0
56.141,0.5748994946479796,0.10672815144062042,-3.1579689979553223,0.8756567239761353,-0.08067196607589722,0.0,0.0,-0.11988221108913422,0.0,0.0
56.154,0.5608808994293213,0.1091184988617897,-1.861830711364746,0.9002634286880493,-0.13641440868377686,0.0,0.0,-0.07330635190010071,0.0,0.0
56.168,0.5177675485610962,0.09353581070899965,0.2474670261144638,0.8547230958938599,-0.13796967267990112,0.0,0.0,-0.05841929838061333,0.0,0.0
56.181,0.5125175714492798,0.09796599298715591,2.3927078247070312,0.841838002204895,-0.14403733611106873,0.0,0.0,-0.05841929838061333,0.0,0.0
