time,ax,ay,az,gx,gy,gz
1746730181.309447,-0.4,-9.53,-7.49,0.07,-0.25,-0.23
1746730181.3179882,0.08,-9.8,-7.39,0.05,-0.25,-0.21
1746730181.3264673,0.35,-9.87,-7.26,0.05,-0.22,-0.16
1746730181.3677623,0.3,-10.07,-7.45,-0.01,-0.19,-0.09
1746730181.3677623,-0.16,-9.93,-7.42,-0.08,-0.14,-0.0
1746730181.3677623,-0.57,-9.45,-7.59,-0.12,-0.08,0.02
1746730181.3677623,-0.63,-9.23,-8.03,-0.14,-0.08,-0.01
1746730181.3762321,-0.66,-9.29,-8.33,-0.11,-0.12,-0.08
1746730181.3931117,-0.47,-8.94,-8.3,-0.01,-0.25,-0.16
1746730181.4011126,-0.58,-9.13,-8.32,0.1,-0.32,-0.17
1746730181.409533,-0.54,-9.24,-8.18,0.25,-0.37,-0.21
1746730181.417911,-0.4,-9.47,-8.0,0.24,-0.44,-0.24
1746730181.426338,-0.25,-9.6,-7.77,0.27,-0.5,-0.27
1746730181.4593163,-0.35,-9.66,-7.43,0.24,-0.49,-0.26
1746730181.4593163,-0.26,-9.48,-7.44,0.17,-0.43,-0.26
1746730181.4593163,0.11,-9.46,-7.6,0.18,-0.41,-0.29
1746730181.4677532,-0.17,-9.73,-7.49,0.2,-0.34,-0.26
1746730181.4761777,-0.09,-9.83,-7.51,0.24,-0.27,-0.22
1746730181.4924073,0.08,-9.73,-7.65,0.27,-0.22,-0.19
1746730181.500919,0.21,-9.79,-7.6,0.3,-0.19,-0.14
1746730181.509579,0.18,-9.73,-7.61,0.32,-0.15,-0.11
1746730181.5177944,-0.08,-9.69,-7.55,0.31,-0.09,-0.08
1746730181.5336974,-0.12,-9.46,-7.67,0.31,-0.06,-0.1
1746730181.5745833,-0.22,-9.28,-7.85,0.36,-0.08,-0.12
1746730181.5745833,-0.15,-9.33,-7.92,0.41,-0.1,-0.15
1746730181.5828562,0.04,-9.51,-7.93,0.48,-0.12,-0.17
1746730181.5828562,0.02,-9.66,-7.74,0.55,-0.11,-0.17
1746730181.5828562,-0.38,-9.04,-7.31,0.61,-0.04,-0.19
1746730181.5908594,-0.03,-10.01,-8.14,0.68,-0.07,-0.19
1746730181.599279,-0.08,-9.62,-7.97,0.75,-0.08,-0.19
1746730181.6075077,0.37,-9.76,-8.03,0.86,-0.12,-0.23
1746730181.615933,0.24,-10.02,-7.74,0.93,-0.16,-0.23
1746730181.6307402,0.01,-9.71,-7.44,1.01,-0.12,-0.23
1746730181.649761,0.11,-9.84,-7.58,1.06,-0.1,-0.24
1746730181.649761,0.37,-9.74,-7.57,1.06,-0.13,-0.23
1746730181.6580193,0.37,-9.56,-7.21,1.14,-0.16,-0.21
1746730181.6664276,0.92,-9.9,-7.25,1.18,-0.17,-0.17
1746730181.6828315,1.46,-10.47,-7.34,1.23,-0.2,-0.1
1746730181.6908362,1.35,-10.77,-7.25,1.23,-0.16,-0.01
1746730181.699269,1.29,-10.61,-7.49,1.3,-0.1,0.05
1746730181.707514,1.5,-10.47,-7.97,1.52,-0.14,0.08
1746730181.715963,1.69,-10.67,-8.39,1.72,-0.27,0.09
1746730181.7324128,1.47,-11.69,-9.12,1.69,-0.29,0.07
